array size(KB),stride 16(ns),stride 32(ns),stride 64(ns),stride 128(ns),stride 256(ns),stride 512(ns),stride 1024(ns),stride 2048(ns),stride 4096(ns),stride 8192(ns)
106496,3.128,4.243,7.681,26.287,85.448,80.097,76.148,78.49,83.05,78.341
114688,3.171,4.303,7.713,26.204,82.219,79.195,81.808,78.134,82.376,91.76
122880,3.156,4.28,7.72,26.556,83.443,80.609,77.606,79.039,82.923,91.56
131072,3.205,4.294,7.745,26.601,84.002,80.351,77.37,78.687,83.007,81.608
147456,3.389,4.292,7.729,26.804,85.299,82.34,78.824,79.86,86.296,91.705
163840,3.171,4.33,7.782,27.148,85.877,82.331,78.365,79.416,85.406,91.936
180224,3.251,4.304,7.775,27.188,86.28,83.693,80.412,79.783,88.093,91.889
196608,3.345,4.39,7.787,27.325,86.528,83.521,80.983,79.954,87.037,91.994
212992,3.199,4.351,7.802,27.203,90.075,84.714,81.293,81.902,87.054,91.929
229376,3.373,4.338,7.788,27.465,87.437,84.551,80.178,81.053,87.825,92.038
245760,3.217,4.33,7.838,27.529,88.085,85.459,82.615,80.532,88.663,91.966
262144,3.198,4.35,7.822,27.733,88.44,86.125,85.091,81.096,88.496,92.081
294912,3.219,4.359,7.826,27.649,88.79,86.229,83.537,82.023,88.766,92.046
327680,3.258,4.365,7.838,27.653,89.295,86.173,81.265,84.082,89.42,92.151
360448,3.228,4.35,7.849,28.026,89.451,86.964,81.988,82.458,89.97,92.175
393216,3.566,4.374,7.866,27.85,89.466,86.714,86.681,84.939,90.235,92.222
425984,3.664,4.378,7.869,28.067,89.992,87.463,90.301,83.892,90.229,92.193
458752,3.573,4.358,7.865,27.938,90.274,87.243,85.395,85.359,90.544,92.209
491520,3.885,4.386,7.868,28.181,90.331,87.815,90.809,82.128,90.579,92.202
524288,3.231,4.371,7.887,27.964,90.216,87.496,85.74,85.753,91.158,92.23
